date,batch_size,x_dim,lookahead,time_mode,dataset,error_metric,model_name,rmse,wrmse (alpha=2),wprmse (beta=3),mae,r2
2024-10-24 17:30:45.134596,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6005.569026470184,10630.066745877266,8821.689745485783,3906.343553513289,0.5793049335479736
2024-10-24 17:32:41.151947,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6693.482975959778,10568.372006118298,9449.473891556265,4406.840866357088,0.4774072170257568
2024-10-30 16:32:21.840478,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6464.838457405567,11891.104298830032,9847.326716184616,3995.4888102412224,0.5125001668930054
2024-10-30 16:38:44.698481,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6394.796925783157,11621.10781878233,9608.913370072842,3989.376496523618,0.5230063199996948
2024-10-30 16:44:54.388873,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6153.708897829056,11280.526087582111,9183.44516992569,3921.182217150927,0.5582942962646484
2024-10-30 16:51:04.233154,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6183.863722383976,10463.731091320516,8918.405599594116,4055.4021714627743,0.5539548993110657
2024-10-30 16:56:36.513969,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6831.900026798248,10313.497899770737,9567.855574786665,4489.570232629776,0.4555699825286865
2024-10-30 17:01:21.338605,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6243.9691281318665,10718.528519272804,9174.631336927414,4087.60605186224,0.5452418327331543
2024-10-30 17:06:39.099909,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6355.703491568565,11354.62042093277,9522.313487529756,4071.805074363947,0.5288205742835999
2024-10-30 17:15:20.055643,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6005.128474235535,9722.685287594795,8488.001402020454,4105.056311935186,0.5793666839599609
2024-10-30 17:24:41.572625,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6119.531245827675,10304.216328561306,8760.44113457203,3975.9110732376575,0.5631872415542603
2024-10-30 17:31:15.195158,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,5923.5098990798,9397.84005433321,8306.73576682806,4077.814569324255,0.5907230377197266
2024-10-30 17:36:28.533396,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6625.018230974674,11236.372576355934,9626.82892858982,4244.353073090315,0.4880433082580566
2024-10-30 17:42:12.220246,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6464.616787135601,12156.931565403938,9953.177755475044,4032.218110114336,0.5125336647033691
2024-10-30 17:48:45.087389,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,5978.994385898113,9904.831330180168,8583.312647342682,4033.877151757479,0.5830198526382446
2024-10-30 17:55:22.273544,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,6429.044982492924,11808.765643835068,9733.469755351543,4073.092922866345,0.5178835391998291
2024-10-30 18:02:02.738169,32,192,96,cyclical,slrp-ev_old,mse,TCN_hidSize16_layers6_kernelSize3_dropout0.2,5949.469718337059,9666.565764248371,8437.82863676548,4108.439571857452,0.5871278643608093
2024-10-18 11:42:12.676862,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968
2024-10-18 11:47:32.380632,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968
2024-10-18 11:52:59.852500,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5769.425709396601,9902.621598243712,8447.67971932888,3753.9800967276096,0.6165965795516968
2024-10-18 12:00:24.548661,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5778.773154318333,9927.275096476078,8465.717963278294,3769.0205639600754,0.6153532266616821
2024-10-18 12:04:25.797057,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5748.4548653662205,9909.75896269083,8437.941563129425,3749.284242093563,0.6193786859512329
2024-10-24 01:56:37.840297,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5753.376921266317,9794.300817549229,8365.978192090988,3752.0530292391777,0.6138955950737
2024-10-24 01:57:57.148713,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5742.656933069229,9786.636463403702,8363.23868215084,3743.7797789275646,0.615333080291748
2024-10-24 01:59:10.835780,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2,5773.303544968367,9780.73083281517,8372.792113125324,3761.263847202063,0.6112164258956909
2024-10-24 02:00:30.262941,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiShort,6131.4958637952805,10715.86777895689,9215.539957880974,3898.838132768869,0.5614773035049438
2024-10-24 02:01:41.135855,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiShort,6149.872886836529,10830.621877014635,9284.650195538998,3910.855031460524,0.558844804763794
2024-10-24 02:02:55.209113,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiShort,6133.824098706245,10708.487134873869,9218.741629421713,3890.367609858513,0.5611442923545837
2024-10-22 08:56:18.300544,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiShort,6168.084005713463,10764.1207960248,9265.924634337423,3899.700764715672,0.5562281608581543
2024-10-22 08:59:17.983450,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiShort,6173.7059262394905,10714.530089497566,9249.989469647408,3901.357018053532,0.5554189085960388
2024-10-21 11:59:33.468054,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5530.910590142012,9403.466854393482,8102.210088968277,3637.531057596207,0.643177330493927
2024-10-21 12:01:27.497569,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5531.804241985083,9523.28869730234,8150.787943601608,3648.703796863556,0.6430619955062866
2024-10-21 12:03:48.128173,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5528.944834917784,9543.165131509304,8163.09273481369,3657.221372425556,0.6434309482574463
2024-10-24 02:04:11.062078,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5477.409285455942,8875.975958108902,7762.144891321659,3629.132682085037,0.6500471830368042
2024-10-24 02:05:29.666609,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5480.683104395866,8872.056995034218,7758.789165914059,3633.8337647914886,0.649628758430481
2024-10-24 02:06:47.590142,32,192,96,cyclical,slrp-ev_old,mse,XGBoost_dropout0.2_lagsOptiLong,5460.094606727362,8887.121511399746,7753.296901583672,3636.293050050736,0.6522561311721802
2024-10-24 20:08:40.801507,32,192,96,cyclical,slrp-ev_old,mse,Prophet,6546.574371154536,10753.89325939906,9375.127366153143,5013.617335258013,0.5066996050726615
2024-10-24 20:06:36.531911,32,192,96,cyclical,slrp-ev_old,mse,Last_Week,7983.575390099653,12833.692922577737,11455.68449730907,4892.210134755755,0.2848127641699299
2024-10-24 20:06:53.945721,32,192,96,cyclical,slrp-ev_old,mse,Similar_Day,7230.193102609949,11444.80341337876,10269.817745476175,4479.110891350211,0.3975294480567477
2024-10-24 20:09:45.532025,32,192,96,cyclical,slrp-ev_old,mse,KNN_neighbors10_percentile90_lagsOptiLong,9181.862455527396,10894.074174943706,11701.395255473708,5616.592897663359,0.0166215703617056
2024-10-24 20:12:36.858978,32,192,96,cyclical,slrp-ev_old,mse,ARIMA,8014.512605503935,14306.741035325564,11997.949644797263,5649.653059110759,0.26067143883609
